Country Code,Year,Sex,Age Group,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
ATG,2014,All,[All],36.37931034,227.95531644
ATG,2014,Male,[All],33.23076923,242.68572199
ATG,2014,Female,[All],40.39215686,214.31543903
ARG,2014,All,[All],28.31990312,213.89616294
ARG,2014,Male,[All],27.09805149,216.80595446
ARG,2014,Female,[All],29.63805997,210.78941445
ARM,2014,All,[All],47.87111207,440.20267838
ARM,2014,Male,[All],45.16492018,445.56286134
ARM,2014,Female,[All],50.72248981,435.28968863
AUS,2014,All,[All],29.34561792,191.74921454
AUS,2014,Male,[All],27.63942252,185.39492467
AUS,2014,Female,[All],31.12215739,198.02539522
AUT,2014,All,[All],42.34524357,387.83080202
AUT,2014,Male,[All],37.31295425,334.34293855
AUT,2014,Female,[All],46.95797002,438.98152257
BHS,2014,All,[All],31.77396943,185.08875356
BHS,2014,Male,[All],29.08633697,192.98148045
BHS,2014,Female,[All],35.0931677,177.65898907
BHR,2014,All,[All],32.09647495,65.8013848
BHR,2014,Male,[All],36.32478632,73.77676268
BHR,2014,Female,[All],25.54399243,53.14176057
BLR,2014,All,[All],55.51414326,712.15284884
BLR,2014,Male,[All],53.31951562,741.64556284
BLR,2014,Female,[All],57.74540386,686.52381874
BEL,2014,All,[All],28.60388526,266.88558576
BEL,2014,Male,[All],26.5088505,247.63727632
BEL,2014,Female,[All],30.6360012,285.51143807
BLZ,2014,All,[All],23.1884058,104.14131524
BLZ,2014,Male,[All],21.1028632,112.78174183
BLZ,2014,Female,[All],26.24223602,95.52394033
BIH,2014,All,[All],49.76653696,467.84414148
BIH,2014,Male,[All],45.31590414,444.09144868
BIH,2014,Female,[All],54.40408627,490.61982593
BRA,2014,All,[All],27.73937911,167.86679989
BRA,2014,Male,[All],25.69986252,178.59461917
BRA,2014,Female,[All],30.42215635,157.37941908
BRN,2014,All,[All],27.75510204,99.56829336
BRN,2014,Male,[All],31.57262905,123.46142652
BRN,2014,Female,[All],22.76295133,73.69533839
BGR,2014,All,[All],65.86294882,993.35023317
BGR,2014,Male,[All],61.32262052,988.39327391
BGR,2014,Female,[All],70.77711097,998.04404174
CAN,2014,All,[All],26.88460364,195.1052672
CAN,2014,Female,[All],26.91941278,191.73807088
CAN,2014,Male,[All],26.85051353,198.52844676
CHL,2014,All,[All],27.52451942,158.02728077
CHL,2014,Male,[All],26.26586383,162.21150449
CHL,2014,Female,[All],28.95055037,153.97246635
COL,2014,All,[All],31.46807204,140.73289863
COL,2014,Male,[All],29.25527801,147.94659409
COL,2014,Female,[All],34.22567246,133.80270872
CRI,2014,All,[All],29.41350419,124.45270422
CRI,2014,Male,[All],28.37261894,135.92142392
CRI,2014,Female,[All],30.7744797,112.96302945
HRV,2014,All,[All],47.42815555,568.8953987
HRV,2014,Male,[All],41.30582816,504.05684619
HRV,2014,Female,[All],53.3353946,629.39321022
CUB,2014,All,[All],37.81480328,322.16599699
CUB,2014,Male,[All],36.45749066,336.81567189
CUB,2014,Female,[All],39.4015131,307.68998129
CYP,2014,All,[All],34.93410363,226.80228701
CYP,2014,Male,[All],34.007542,239.40130368
CYP,2014,Female,[All],35.96491228,214.90477417
CZE,2014,All,[All],46.01996877,462.02377759
CZE,2014,Male,[All],41.84778563,435.06219403
CZE,2014,Female,[All],50.33798748,488.04651996
DNK,2014,All,[All],23.74639656,214.70927896
DNK,2014,Male,[All],23.9963862,218.18675343
DNK,2014,Female,[All],23.49716076,211.28069909
DOM,2014,All,[All],25.79783683,114.03631396
DOM,2014,Male,[All],24.15918229,126.26862752
DOM,2014,Female,[All],28.19462647,101.76093925
ECU,2014,All,[All],23.0799765,91.1242841
ECU,2014,Male,[All],21.80976479,94.97774941
ECU,2014,Female,[All],24.64631422,87.26107557
EGY,2014,All,[All],47.75863755,292.60167283
EGY,2014,Male,[All],45.82783579,303.42502404
EGY,2014,Female,[All],50.13267603,281.32259729
SLV,2014,All,[All],15.50141431,92.27771064
SLV,2014,Male,[All],13.37239278,96.27334747
SLV,2014,Female,[All],18.31588079,88.7238207
EST,2014,All,[All],53.32902392,627.59357801
EST,2014,Male,[All],44.76892163,543.7205322
EST,2014,Female,[All],61.3116802,701.25205211
FIN,2014,All,[All],37.48020378,359.6623389
FIN,2014,Male,[All],36.71512527,353.52191931
FIN,2014,Female,[All],38.22565455,365.60522131
FRA,2014,All,[All],25.00651833,212.3672163
FRA,2014,Male,[All],22.93402974,202.27670184
FRA,2014,Female,[All],27.1075138,221.85946387
GUF,2014,All,[All],18.46153846,56.52090292
GUF,2014,Male,[All],16.63019694,60.30453792
GUF,2014,Female,[All],21.05263158,52.81430336
GEO,2014,All,[All],42.00501151,553.2331634
GEO,2014,Male,[All],38.95215484,544.83030337
GEO,2014,Female,[All],45.13533586,560.8880685
DEU,2014,All,[All],38.93057686,417.44327478
DEU,2014,Male,[All],35.17998783,374.18558308
DEU,2014,Female,[All],42.48015726,459.03523833
GRC,2014,Male,[All],36.46192737,403.47418357
GRC,2014,All,[All],39.69315984,414.48283656
GRC,2014,Female,[All],43.12062905,424.88072991
GRD,2014,All,[All],36.7219917,325.06290059
GRD,2014,Male,[All],33.91136802,320.2270701
GRD,2014,Female,[All],40.18058691,330.00241013
GLP,2014,All,[All],23.75724306,194.11234096
GLP,2014,Male,[All],22.08380521,209.73492732
GLP,2014,Female,[All],25.71050892,180.63114099
GUY,2014,All,[All],35.85722012,260.55175666
GUY,2014,Male,[All],32.74336283,271.93314015
GUY,2014,Female,[All],39.99160722,249.21873978
HKG,2014,All,[All],22.85495515,144.5051525
HKG,2014,Male,[All],22.125463,167.88757662
HKG,2014,Female,[All],23.77016922,124.37580438
HUN,2014,All,[All],49.7086487,636.35740774
HUN,2014,Male,[All],44.58962447,588.17959458
HUN,2014,Female,[All],54.64270166,680.1779719
