Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,MEX,Mexico,2020,All,Age00,[0],205.00000000,1.06261663,,9.57617261,
CSA,Central and South America,MEX,Mexico,2020,All,Age01_04,[1-4],83.00000000,2.14470284,,0.94125556,
CSA,Central and South America,MEX,Mexico,2020,All,Age05_09,[5-9],92.00000000,4.08707241,,0.82065854,
CSA,Central and South America,MEX,Mexico,2020,All,Age10_14,[10-14],150.00000000,4.89396411,,1.34639383,
CSA,Central and South America,MEX,Mexico,2020,All,Age15_19,[15-19],412.00000000,4.40406200,,3.67542303,
CSA,Central and South America,MEX,Mexico,2020,All,Age20_24,[20-24],824.00000000,5.23440478,,7.53211799,
CSA,Central and South America,MEX,Mexico,2020,All,Age25_29,[25-29],1412.00000000,7.01510334,,13.07919070,
CSA,Central and South America,MEX,Mexico,2020,All,Age30_34,[30-34],1953.00000000,8.64809813,,19.94917404,
CSA,Central and South America,MEX,Mexico,2020,All,Age35_39,[35-39],2981.00000000,10.68918531,,32.79374189,
CSA,Central and South America,MEX,Mexico,2020,All,Age40_44,[40-44],4598.00000000,12.27672016,,53.89144776,
CSA,Central and South America,MEX,Mexico,2020,All,Age45_49,[45-49],7366.00000000,13.87951989,,91.89357910,
CSA,Central and South America,MEX,Mexico,2020,All,Age50_54,[50-54],10303.00000000,15.32887983,,148.78152365,
CSA,Central and South America,MEX,Mexico,2020,All,Age55_59,[55-59],13994.00000000,16.37702021,,239.90863105,
CSA,Central and South America,MEX,Mexico,2020,All,Age60_64,[60-64],18832.00000000,18.41472239,,403.30188427,
CSA,Central and South America,MEX,Mexico,2020,All,Age65_69,[65-69],22367.00000000,20.54902753,,622.08333252,
CSA,Central and South America,MEX,Mexico,2020,All,Age70_74,[70-74],26789.00000000,24.16863644,,1086.02234230,
CSA,Central and South America,MEX,Mexico,2020,All,Age75_79,[75-79],31269.00000000,28.70848980,,1815.84733150,
CSA,Central and South America,MEX,Mexico,2020,All,Age80_84,[80-84],36188.00000000,34.76706986,,3418.78080990,
CSA,Central and South America,MEX,Mexico,2020,All,Age85_over,[85+],74977.00000000,45.86646928,,7654.52592720,
CSA,Central and South America,MEX,Mexico,2020,All,Age_unknown,[Unknown],308.00000000,7.38786280,,,
CSA,Central and South America,MEX,Mexico,2020,Male,Age00,[0],125.00000000,1.15537480,,11.40623346,
CSA,Central and South America,MEX,Mexico,2020,Male,Age01_04,[1-4],44.00000000,2.00913242,,0.97585015,
CSA,Central and South America,MEX,Mexico,2020,Male,Age05_09,[5-9],53.00000000,4.03963415,,0.92468106,
CSA,Central and South America,MEX,Mexico,2020,Male,Age10_14,[10-14],84.00000000,4.68750000,,1.47554236,
CSA,Central and South America,MEX,Mexico,2020,Male,Age15_19,[15-19],264.00000000,3.90705935,,4.63563472,
