,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language,DateModified
0,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,CUB,Cuba,Year,2021,True,,,EN,2023-12-05 00:00:00
1,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,GHA,Ghana,Year,2021,True,100.0,100.0,EN,2023-12-05 00:00:00
2,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2021,True,1039.0,1038.67,EN,2023-12-05 00:00:00
3,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2021,True,1040.0,1040.02,EN,2023-12-05 00:00:00
4,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,ARG,Argentina,Year,2021,True,1045.0,1044.77,EN,2023-12-05 00:00:00
5,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2021,True,106.4,106.35,EN,2023-12-05 00:00:00
6,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2021,True,1071.0,1070.96,EN,2023-12-05 00:00:00
7,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2021,True,10897.0,10897.45,EN,2023-12-05 00:00:00
8,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2021,True,1114.0,1114.37,EN,2023-12-05 00:00:00
9,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,LBR,Liberia,Year,2021,True,112.3,112.27,EN,2023-12-05 00:00:00
10,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2021,True,1125.0,1125.4,EN,2023-12-05 00:00:00
11,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2021,True,114.7,114.71,EN,2023-12-05 00:00:00
12,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2021,True,1146.0,1146.47,EN,2023-12-05 00:00:00
13,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,POL,Poland,Year,2021,True,1159.0,1159.33,EN,2023-12-05 00:00:00
14,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,True,120.4,120.43,EN,2023-12-05 00:00:00
15,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,USA,United States of America,Year,2021,True,12012.0,12012.24,EN,2023-12-05 00:00:00
16,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2021,True,122.4,122.42,EN,2023-12-05 00:00:00
17,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2021,True,133.2,133.15,EN,2023-12-05 00:00:00
18,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2021,True,135.0,135.0,EN,2023-12-05 00:00:00
19,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,HUN,Hungary,Year,2021,True,1382.0,1381.62,EN,2023-12-05 00:00:00
20,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,HRV,Croatia,Year,2021,True,1384.0,1384.12,EN,2023-12-05 00:00:00
21,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,BRB,Barbados,Year,2021,True,1400.0,1400.44,EN,2023-12-05 00:00:00
22,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,PAN,Panama,Year,2021,True,1415.0,1415.24,EN,2023-12-05 00:00:00
23,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2021,True,1442.0,1442.0,EN,2023-12-05 00:00:00
24,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,CHL,Chile,Year,2021,True,1518.0,1518.04,EN,2023-12-05 00:00:00
25,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,NRU,Nauru,Year,2021,True,1530.0,1529.52,EN,2023-12-05 00:00:00
26,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2021,True,157.2,157.19,EN,2023-12-05 00:00:00
27,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2021,True,160.1,160.1,EN,2023-12-05 00:00:00
28,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,True,160.6,160.64,EN,2023-12-05 00:00:00
29,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,URY,Uruguay,Year,2021,True,1620.0,1620.33,EN,2023-12-05 00:00:00
30,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,True,166.2,166.18,EN,2023-12-05 00:00:00
31,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,SVK,Slovakia,Year,2021,True,1685.0,1684.52,EN,2023-12-05 00:00:00
32,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2021,True,17.64,17.64,EN,2023-12-05 00:00:00
33,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2021,True,172.6,172.55,EN,2023-12-05 00:00:00
34,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2021,True,179.7,179.68,EN,2023-12-05 00:00:00
35,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,GRC,Greece,Year,2021,True,1846.0,1845.78,EN,2023-12-05 00:00:00
36,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,LTU,Lithuania,Year,2021,True,1859.0,1858.59,EN,2023-12-05 00:00:00
37,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2021,True,186.1,186.1,EN,2023-12-05 00:00:00
38,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2021,True,1861.0,1860.78,EN,2023-12-05 00:00:00
39,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,LVA,Latvia,Year,2021,True,1898.0,1897.95,EN,2023-12-05 00:00:00
40,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2021,True,1912.0,1911.77,EN,2023-12-05 00:00:00
41,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2021,True,1934.0,1934.08,EN,2023-12-05 00:00:00
42,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,BHS,Bahamas,Year,2021,True,1962.0,1961.68,EN,2023-12-05 00:00:00
43,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2021,True,198.1,198.08,EN,2023-12-05 00:00:00
44,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2021,True,203.2,203.18,EN,2023-12-05 00:00:00
45,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,DZA,Algeria,Year,2021,True,204.6,204.57,EN,2023-12-05 00:00:00
46,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2021,True,2045.0,2045.3,EN,2023-12-05 00:00:00
47,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,EST,Estonia,Year,2021,True,2095.0,2094.5,EN,2023-12-05 00:00:00
48,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2021,True,21.58,21.58,EN,2023-12-05 00:00:00
49,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2021,True,22.32,22.32,EN,2023-12-05 00:00:00
50,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2021,True,221.1,221.11,EN,2023-12-05 00:00:00
51,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,GAB,Gabon,Year,2021,True,233.9,233.87,EN,2023-12-05 00:00:00
52,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2021,True,2352.0,2351.81,EN,2023-12-05 00:00:00
53,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,BDI,Burundi,Year,2021,True,24.27,24.27,EN,2023-12-05 00:00:00
54,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,GMB,Gambia,Year,2021,True,24.63,24.63,EN,2023-12-05 00:00:00
55,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2021,True,247.9,247.91,EN,2023-12-05 00:00:00
56,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2021,True,248.9,248.92,EN,2023-12-05 00:00:00
57,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2021,True,249.1,249.08,EN,2023-12-05 00:00:00
58,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,CZE,Czechia,Year,2021,True,2499.0,2498.52,EN,2023-12-05 00:00:00
59,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,ERI,Eritrea,Year,2021,True,25.36,25.36,EN,2023-12-05 00:00:00
60,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2021,True,250.0,250.03,EN,2023-12-05 00:00:00
61,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,HND,Honduras,Year,2021,True,253.9,253.92,EN,2023-12-05 00:00:00
62,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2021,True,255.6,255.57,EN,2023-12-05 00:00:00
63,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2021,True,26.48,26.48,EN,2023-12-05 00:00:00
64,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2021,True,261.5,261.53,EN,2023-12-05 00:00:00
65,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2021,True,263.9,263.89,EN,2023-12-05 00:00:00
66,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2021,True,265.5,265.46,EN,2023-12-05 00:00:00
67,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2021,True,273.0,272.96,EN,2023-12-05 00:00:00
68,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,PRT,Portugal,Year,2021,True,2747.0,2746.69,EN,2023-12-05 00:00:00
69,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,SVN,Slovenia,Year,2021,True,2775.0,2774.99,EN,2023-12-05 00:00:00
70,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2021,True,279.3,279.25,EN,2023-12-05 00:00:00
