Country Code,Location,HealthExpenditurePerCapita(USD),Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
HUN,Hungary,1006.16,All,10.52,7.08,13.83,33.8,26.6,40.9,EUR,Europe,26.39,24.74,28.05,2014,49.7086487,636.35740774
HUN,Hungary,1006.16,Male,17.13,11.53,22.71,38.4,30.6,46.3,EUR,Europe,27.88,25.43,30.43,2014,44.58962447,588.17959458
HUN,Hungary,1006.16,Female,4.65,3.1,6.24,29.1,22.7,35.5,EUR,Europe,24.56,22.38,26.77,2014,54.64270166,680.1779719
BRA,Brazil,1013.57,Male,13.35,9.01,18.0,18.7,15.2,22.2,AMR,Americas,17.22,16.0,18.48,2014,25.69986252,178.59461917
BRA,Brazil,1013.57,Female,3.58,2.39,4.88,11.1,8.8,13.5,AMR,Americas,23.97,22.72,25.25,2014,30.42215635,157.37941908
BRA,Brazil,1013.57,All,8.34,5.64,11.2,14.9,12.0,17.8,AMR,Americas,20.75,19.86,21.65,2014,27.73937911,167.86679989
LTU,Lithuania,1021.23,All,14.96,11.43,18.41,34.6,27.0,42.2,EUR,Europe,23.44,20.19,26.79,2014,55.9549836,768.08257629
LTU,Lithuania,1021.23,Male,24.6,18.76,30.46,46.4,36.6,56.1,EUR,Europe,23.13,18.4,28.15,2014,46.99651914,699.49064706
LTU,Lithuania,1021.23,Female,6.95,5.21,8.75,22.8,17.4,28.3,EUR,Europe,23.02,18.87,27.57,2014,64.89921557,826.69245232
PHL,Philippines,108.72,Female,2.27,1.38,3.3,6.6,5.4,7.8,WPR,Western Pacific,7.69,6.72,8.71,2014,35.99490264,166.70245696
PHL,Philippines,108.72,All,5.84,3.53,8.39,24.4,19.8,28.9,WPR,Western Pacific,6.23,5.63,6.87,2014,34.96300738,187.9873783
PHL,Philippines,108.72,Male,9.41,5.7,13.55,42.1,34.1,50.1,WPR,Western Pacific,4.74,4.01,5.56,2014,34.1949776,208.88294493
BHR,Bahrain,1123.63,Female,0.45,0.11,0.87,5.7,3.1,8.2,EMR,Eastern Mediterranean,39.31,33.7,44.97,2014,25.54399243,53.14176057
BHR,Bahrain,1123.63,All,2.0,0.55,3.71,16.8,12.7,20.9,EMR,Eastern Mediterranean,32.65,28.74,36.79,2014,32.09647495,65.8013848
BHR,Bahrain,1123.63,Male,2.84,0.78,5.25,28.0,22.4,33.6,EMR,Eastern Mediterranean,28.7,23.59,34.16,2014,36.32478632,73.77676268
CHL,Chile,1150.06,Male,12.5,8.65,16.42,36.3,29.7,42.9,AMR,Americas,26.01,23.78,28.26,2014,26.26586383,162.21150449
CHL,Chile,1150.06,Female,3.71,2.53,4.98,30.9,25.6,36.3,AMR,Americas,36.52,34.09,38.86,2014,28.95055037,153.97246635
CHL,Chile,1150.06,All,8.04,5.57,10.53,33.6,27.6,39.6,AMR,Americas,31.35,29.74,33.0,2014,27.52451942,158.02728077
UZB,Uzbekistan,117.57,Female,0.66,0.28,1.06,1.2,0.9,1.5,EUR,Europe,26.44,24.32,28.56,2014,63.60841045,283.14215709
UZB,Uzbekistan,117.57,All,2.39,1.04,3.79,19.6,15.1,24.1,EUR,Europe,22.87,21.3,24.42,2014,60.66799768,295.39624736
UZB,Uzbekistan,117.57,Male,4.16,1.81,6.61,38.0,29.3,46.6,EUR,Europe,18.67,16.46,20.96,2014,58.20290922,307.59308267
KWT,Kuwait,1260.88,All,0.0,0.0,0.0,19.9,14.9,24.9,EMR,Eastern Mediterranean,40.92,39.06,42.78,2014,37.68860885,56.27010641
KWT,Kuwait,1260.88,Female,0.0,0.0,0.0,2.8,2.0,3.6,EMR,Eastern Mediterranean,47.85,45.52,50.31,2014,31.24718595,43.29498546
KWT,Kuwait,1260.88,Male,0.0,0.0,0.0,37.1,27.9,46.3,EMR,Eastern Mediterranean,36.5,33.9,39.18,2014,41.44356955,64.80639347
ARG,Argentina,1280.61,Male,13.47,9.54,17.63,31.8,25.8,37.8,AMR,Americas,27.04,24.84,29.35,2014,27.09805149,216.80595446
ARG,Argentina,1280.61,Female,4.0,2.77,5.33,21.5,17.9,25.1,AMR,Americas,28.67,26.64,30.69,2014,29.63805997,210.78941445
ARG,Argentina,1280.61,All,8.63,6.14,11.23,26.6,21.8,31.4,AMR,Americas,27.91,26.43,29.43,2014,28.31990312,213.89616294
EST,Estonia,1287.76,All,15.64,11.23,19.97,33.3,27.0,39.5,EUR,Europe,21.17,19.58,22.81,2014,53.32902392,627.59357801
EST,Estonia,1287.76,Male,25.63,18.48,32.76,41.4,33.6,49.2,EUR,Europe,20.89,18.52,23.4,2014,44.76892163,543.7205322
EST,Estonia,1287.76,Female,7.17,5.1,9.42,25.1,20.4,29.9,EUR,Europe,20.84,18.85,22.93,2014,61.3116802,701.25205211
SVK,Slovakia,1289.35,All,10.32,7.35,13.53,31.9,23.6,40.2,EUR,Europe,21.87,19.76,24.07,2014,44.57882949,422.41156421
SVK,Slovakia,1289.35,Male,16.46,11.66,21.68,38.3,29.6,46.9,EUR,Europe,23.75,20.6,27.12,2014,39.77658691,399.13749946
SVK,Slovakia,1289.35,Female,4.59,3.19,6.2,25.5,17.6,33.4,EUR,Europe,19.76,17.08,22.56,2014,49.70016501,444.53563863
LKA,Sri Lanka,134.75,Female,1.04,0.5,1.64,3.5,2.5,4.5,SEAR,South-East Asia,8.91,7.81,10.09,2014,24.43700383,126.25528679
LKA,Sri Lanka,134.75,All,2.86,1.38,4.47,22.1,17.6,26.6,SEAR,South-East Asia,6.51,5.83,7.23,2014,25.54823107,157.53413027
LKA,Sri Lanka,134.75,Male,4.87,2.36,7.6,40.7,32.7,48.7,SEAR,South-East Asia,3.88,3.16,4.66,2014,26.39810557,191.04294162
URY,Uruguay,1480.02,Female,2.75,1.73,3.87,20.7,17.0,24.4,AMR,Americas,28.7,25.73,31.93,2014,29.34340869,262.44006218
URY,Uruguay,1480.02,All,6.0,3.8,8.3,24.4,20.4,28.3,AMR,Americas,26.54,24.26,28.93,2014,26.96282921,254.70263225
URY,Uruguay,1480.02,Male,9.6,6.06,13.29,28.1,23.8,32.3,AMR,Americas,23.91,20.68,27.23,2014,24.69135802,246.39314588
CZE,Czechia,1516.06,All,13.11,9.86,16.24,31.4,26.2,36.5,EUR,Europe,22.55,21.23,23.92,2014,46.01996877,462.02377759
CZE,Czechia,1516.06,Male,20.83,15.64,25.87,35.6,30.0,41.3,EUR,Europe,24.46,22.54,26.52,2014,41.84778563,435.06219403
CZE,Czechia,1516.06,Female,5.77,4.29,7.38,27.1,22.5,31.6,EUR,Europe,20.49,18.69,22.3,2014,50.33798748,488.04651996
EGY,Egypt,158.21,Female,0.05,0.0,0.16,0.5,0.3,0.6,EMR,Eastern Mediterranean,50.44,48.46,52.43,2014,50.13267603,281.32259729
EGY,Egypt,158.21,All,0.19,0.0,0.64,22.8,18.4,27.1,EMR,Eastern Mediterranean,38.91,37.48,40.38,2014,47.75863755,292.60167283
EGY,Egypt,158.21,Male,0.33,0.0,1.12,45.1,36.5,53.6,EMR,Eastern Mediterranean,27.28,25.14,29.48,2014,45.82783579,303.42502404
BHS,Bahamas,1590.95,Female,1.85,0.079,3.72,2.7,1.9,3.6,AMR,Americas,47.02,42.98,51.08,2014,35.0931677,177.65898907
BHS,Bahamas,1590.95,All,4.35,0.18,8.75,11.4,8.4,14.4,AMR,Americas,41.31,38.51,44.21,2014,31.77396943,185.08875356
BHS,Bahamas,1590.95,Male,7.11,0.29,14.33,20.0,14.8,25.2,AMR,Americas,35.13,31.28,39.15,2014,29.08633697,192.98148045
GRC,Greece,1700.49,Male,12.35,8.31,16.46,42.9,34.9,50.9,EUR,Europe,24.94,22.74,27.15,2014,36.46192737,403.47418357
GRC,Greece,1700.49,Female,3.41,2.29,4.61,34.0,26.7,41.2,EUR,Europe,25.37,23.29,27.45,2014,43.12062905,424.88072991
GRC,Greece,1700.49,All,7.77,5.22,10.37,38.4,30.8,46.0,EUR,Europe,25.25,23.66,26.81,2014,39.69315984,414.48283656
CYP,Cyprus,1873.89,Male,12.62,8.32,17.09,51.4,40.5,62.3,EUR,Europe,23.67,17.48,30.4,2014,34.007542,239.40130368
CYP,Cyprus,1873.89,Female,3.41,2.26,4.66,22.9,18.3,27.5,EUR,Europe,19.78,14.43,25.99,2014,35.96491228,214.90477417
CYP,Cyprus,1873.89,All,8.01,5.28,10.84,37.1,29.4,44.9,EUR,Europe,21.79,17.73,26.19,2014,34.93410363,226.80228701
KOR,Republic of Korea,1880.44,Male,13.74,9.5,18.06,41.4,34.0,48.7,WPR,Western Pacific,4.76,4.42,5.12,2014,18.66807855,108.38446146
KOR,Republic of Korea,1880.44,Female,3.94,2.68,5.35,6.2,5.0,7.5,WPR,Western Pacific,4.22,3.93,4.53,2014,25.1821452,119.39182955
KOR,Republic of Korea,1880.44,All,8.81,6.15,11.54,23.8,19.5,28.1,WPR,Western Pacific,4.55,4.32,4.78,2014,21.59720873,113.88968354
PRT,Portugal,2059.93,All,10.29,7.21,13.28,25.5,20.5,30.5,EUR,Europe,19.24,17.68,20.94,2014,30.68457218,310.41060999
PRT,Portugal,2059.93,Male,16.6,11.76,21.47,32.2,26.3,38.2,EUR,Europe,18.67,16.4,21.16,2014,27.24213989,294.96990696
PRT,Portugal,2059.93,Female,4.71,3.3,6.15,18.8,14.8,22.8,EUR,Europe,19.62,17.46,21.88,2014,34.24527755,324.38259345
SVN,Slovenia,2062.38,All,11.27,8.29,14.44,21.8,18.0,25.6,EUR,Europe,16.6,15.79,17.44,2014,41.05686752,376.1114423
SVN,Slovenia,2062.38,Male,17.91,13.12,22.91,23.7,19.8,27.6,EUR,Europe,19.25,17.93,20.61,2014,33.34057341,300.56225702
SVN,Slovenia,2062.38,Female,4.84,3.49,6.34,19.9,16.3,23.5,EUR,Europe,13.73,12.74,14.76,2014,48.39842943,450.29628804
UKR,Ukraine,212.76,All,10.65,7.25,14.06,28.5,24.4,32.6,EUR,Europe,22.17,19.85,24.65,2014,67.31135418,993.67588003
UKR,Ukraine,212.76,Male,17.76,12.01,23.36,44.8,38.5,51.1,EUR,Europe,17.22,13.75,21.0,2014,58.97525035,924.60221878
UKR,Ukraine,212.76,Female,4.75,3.22,6.4,12.2,10.3,14.1,EUR,Europe,26.01,22.82,29.28,2014,75.3635445,1053.1469733
THA,Thailand,214.52,Male,13.36,8.96,18.03,40.2,33.8,46.7,SEAR,South-East Asia,7.84,6.75,9.02,2014,13.34556043,102.80213104
THA,Thailand,214.52,Female,3.17,2.12,4.3,1.9,1.5,2.2,SEAR,South-East Asia,13.75,12.31,15.28,2014,13.62994276,78.28274282
