,Unnamed: 0,index,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value
0,0,0,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.027,0.0 [0.0 - 0.0]
1,1,1,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.0,0.0,0.0,0.0 [0.0 - 0.0]
2,2,2,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
3,3,3,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2020,True,Sex,Male,SEX_MLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
4,4,4,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.036,0.0 [0.0 - 0.0]
5,5,5,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,MRT,Mauritania,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.0,0.0,0.0,0.0 [0.0 - 0.0]
6,6,6,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,MRT,Mauritania,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
7,7,7,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,MRT,Mauritania,Year,2020,True,Sex,Male,SEX_MLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
8,8,8,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.0,0.0,0.0,0.0 [0.0 - 0.0]
9,9,9,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
10,10,10,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2020,True,Sex,Male,SEX_MLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
11,11,11,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.0,0.0,0.0,0.0 [0.0 - 0.0]
12,12,12,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
13,13,13,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,True,Sex,Male,SEX_MLE,0.0,0.0,0.0,0.0 [0.0 - 0.0]
14,14,14,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,True,Sex,Female,SEX_FMLE,0.0,0.0,0.03,0.0 [0.0 - 0.0]
15,15,15,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.01,0.0,0.11,0.0 [0.0 - 0.1]
16,16,16,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,True,Sex,Female,SEX_FMLE,0.02,0.0,0.091,0.0 [0.0 - 0.1]
