Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
OA,Oceania,AUS,Australia,1950,All,Age_all,[All],37867.0,48.4313249,493.10949291,462.99534156
OA,Oceania,AUS,Australia,1950,All,Age_unknown,[Unknown],9.0,31.03448276,,
OA,Oceania,AUS,Australia,1950,All,Age00,[0],12.0,0.25723473,,6.48999459
OA,Oceania,AUS,Australia,1950,All,Age01_04,[1-4],15.0,1.33451957,,2.13007668
OA,Oceania,AUS,Australia,1950,All,Age05_09,[5-9],28.0,5.33333333,,3.97896831
OA,Oceania,AUS,Australia,1950,All,Age10_14,[10-14],32.0,8.39895013,,5.48790945
OA,Oceania,AUS,Australia,1950,All,Age15_19,[15-19],42.0,7.14285714,,7.61283306
OA,Oceania,AUS,Australia,1950,All,Age20_24,[20-24],68.0,7.03933747,,10.60842434
OA,Oceania,AUS,Australia,1950,All,Age25_29,[25-29],106.0,11.68687982,,15.64806614
OA,Oceania,AUS,Australia,1950,All,Age30_34,[30-34],154.0,15.79487179,,25.22109401
OA,Oceania,AUS,Australia,1950,All,Age35_39,[35-39],323.0,22.71448664,,51.82926829
OA,Oceania,AUS,Australia,1950,All,Age40_44,[40-44],603.0,30.62468258,,109.77607865
OA,Oceania,AUS,Australia,1950,All,Age45_49,[45-49],1078.0,39.92592593,,223.23462415
OA,Oceania,AUS,Australia,1950,All,Age50_54,[50-54],1802.0,46.31200206,,410.47835991
OA,Oceania,AUS,Australia,1950,All,Age55_59,[55-59],2739.0,49.49403686,,672.14723926
OA,Oceania,AUS,Australia,1950,All,Age60_64,[60-64],4188.0,54.78806907,,1174.0958789
OA,Oceania,AUS,Australia,1950,All,Age65_69,[65-69],5129.0,57.12853642,,1921.6935182
OA,Oceania,AUS,Australia,1950,All,Age70_74,[70-74],5847.0,59.7120098,,3165.6740661
OA,Oceania,AUS,Australia,1950,All,Age75_79,[75-79],6037.0,60.99211962,,5245.004344
OA,Oceania,AUS,Australia,1950,All,Age80_84,[80-84],5236.0,61.11824443,,8080.2469136
OA,Oceania,AUS,Australia,1950,All,Age85_over,[85+],4419.0,57.9009434,,13809.375
OA,Oceania,AUS,Australia,1950,Male,Age_all,[All],20458.0,46.79322964,570.29985138,496.20412816
OA,Oceania,AUS,Australia,1950,Male,Age_unknown,[Unknown],5.0,21.73913043,,
OA,Oceania,AUS,Australia,1950,Male,Age00,[0],6.0,0.22547914,,6.34920635
OA,Oceania,AUS,Australia,1950,Male,Age01_04,[1-4],6.0,0.90771558,,1.66435506
OA,Oceania,AUS,Australia,1950,Male,Age05_09,[5-9],12.0,3.73831776,,3.34728033
OA,Oceania,AUS,Australia,1950,Male,Age10_14,[10-14],9.0,4.0,,3.03438975
OA,Oceania,AUS,Australia,1950,Male,Age15_19,[15-19],25.0,6.36132316,,8.87468939
OA,Oceania,AUS,Australia,1950,Male,Age20_24,[20-24],33.0,4.88888889,,10.03344482
OA,Oceania,AUS,Australia,1950,Male,Age25_29,[25-29],60.0,10.67615658,,17.33102253
OA,Oceania,AUS,Australia,1950,Male,Age30_34,[30-34],102.0,17.55593804,,33.12763884
OA,Oceania,AUS,Australia,1950,Male,Age35_39,[35-39],169.0,21.17794486,,53.31230284
OA,Oceania,AUS,Australia,1950,Male,Age40_44,[40-44],365.0,32.07381371,,127.31077782
OA,Oceania,AUS,Australia,1950,Male,Age45_49,[45-49],683.0,42.03076923,,272.32854864
OA,Oceania,AUS,Australia,1950,Male,Age50_54,[50-54],1104.0,46.44509886,,506.65442864
OA,Oceania,AUS,Australia,1950,Male,Age55_59,[55-59],1768.0,51.30586187,,893.3804952
OA,Oceania,AUS,Australia,1950,Male,Age60_64,[60-64],2658.0,55.38653886,,1521.4653692
OA,Oceania,AUS,Australia,1950,Male,Age65_69,[65-69],3052.0,56.73917085,,2399.3710692
OA,Oceania,AUS,Australia,1950,Male,Age70_74,[70-74],3168.0,57.6,,3762.4703088
OA,Oceania,AUS,Australia,1950,Male,Age75_79,[75-79],3003.0,58.29935935,,5853.8011696
OA,Oceania,AUS,Australia,1950,Male,Age80_84,[80-84],2428.0,58.57659831,,8829.0909091
OA,Oceania,AUS,Australia,1950,Male,Age85_over,[85+],1802.0,55.27607362,,13968.992248
OA,Oceania,AUS,Australia,1950,Female,Age_all,[All],17409.0,50.5091827,424.035576,429.23714187
OA,Oceania,AUS,Australia,1950,Female,Age_unknown,[Unknown],4.0,66.66666667,,
OA,Oceania,AUS,Australia,1950,Female,Age00,[0],6.0,0.2994012,,6.63716814
OA,Oceania,AUS,Australia,1950,Female,Age01_04,[1-4],9.0,1.94384449,,2.6185627
OA,Oceania,AUS,Australia,1950,Female,Age05_09,[5-9],16.0,7.84313725,,4.63499421
OA,Oceania,AUS,Australia,1950,Female,Age10_14,[10-14],23.0,14.74358974,,8.02792321
OA,Oceania,AUS,Australia,1950,Female,Age15_19,[15-19],17.0,8.71794872,,6.2962963
OA,Oceania,AUS,Australia,1950,Female,Age20_24,[20-24],35.0,12.02749141,,11.21435437
OA,Oceania,AUS,Australia,1950,Female,Age25_29,[25-29],46.0,13.33333333,,13.88888889
OA,Oceania,AUS,Australia,1950,Female,Age30_34,[30-34],52.0,13.19796954,,17.17872481
OA,Oceania,AUS,Australia,1950,Female,Age35_39,[35-39],154.0,24.67948718,,50.29392554
OA,Oceania,AUS,Australia,1950,Female,Age40_44,[40-44],238.0,28.64019254,,90.63214014
OA,Oceania,AUS,Australia,1950,Female,Age45_49,[45-49],395.0,36.74418605,,170.18526497
OA,Oceania,AUS,Australia,1950,Female,Age50_54,[50-54],698.0,46.10303831,,315.69425599
OA,Oceania,AUS,Australia,1950,Female,Age55_59,[55-59],971.0,46.50383142,,463.26335878
OA,Oceania,AUS,Australia,1950,Female,Age60_64,[60-64],1530.0,53.77855888,,840.65934066
OA,Oceania,AUS,Australia,1950,Female,Age65_69,[65-69],2077.0,57.71047513,,1486.7573372
