Country Code,Location,Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
KWT,Kuwait,All,0.0,0.0,0.0,19.9,14.9,24.9,EMR,Eastern Mediterranean,40.92,39.06,42.78,2014,37.68860885,56.27010641
KWT,Kuwait,Female,0.0,0.0,0.0,2.8,2.0,3.6,EMR,Eastern Mediterranean,47.85,45.52,50.31,2014,31.24718595,43.29498546
KWT,Kuwait,Male,0.0,0.0,0.0,37.1,27.9,46.3,EMR,Eastern Mediterranean,36.5,33.9,39.18,2014,41.44356955,64.80639347
EGY,Egypt,Female,0.05,0.0,0.16,0.5,0.3,0.6,EMR,Eastern Mediterranean,50.44,48.46,52.43,2014,50.13267603,281.32259729
IRN,Iran (Islamic Republic of),Female,0.09,0.004,0.25,4.1,3.0,5.3,EMR,Eastern Mediterranean,27.26,25.98,28.56,2014,45.97613741,137.40033519
BRN,Brunei Darussalam,Female,0.15,0.0,0.58,2.8,1.9,3.7,WPR,Western Pacific,26.54,23.36,29.93,2014,22.76295133,73.69533839
MYS,Malaysia,Female,0.17,0.0,0.43,1.4,0.9,1.8,WPR,Western Pacific,20.85,19.34,22.42,2014,25.26276531,50.20642177
OMN,Oman,Female,0.16,0.01,0.37,0.5,0.3,0.6,EMR,Eastern Mediterranean,33.89,30.92,36.86,2014,24.87787858,50.457086
EGY,Egypt,All,0.19,0.0,0.64,22.8,18.4,27.1,EMR,Eastern Mediterranean,38.91,37.48,40.38,2014,47.75863755,292.60167283
MDV,Maldives,Female,0.27,0.027,0.58,13.5,8.5,18.5,SEAR,South-East Asia,17.33,15.41,19.31,2014,40.49586777,108.67998181
EGY,Egypt,Male,0.33,0.0,1.12,45.1,36.5,53.6,EMR,Eastern Mediterranean,27.28,25.14,29.48,2014,45.82783579,303.42502404
QAT,Qatar,Female,0.28,0.059,0.64,2.4,1.7,3.0,EMR,Eastern Mediterranean,45.27,41.12,49.44,2014,17.65625,19.32638154
IRN,Iran (Islamic Republic of),All,0.42,0.023,1.12,15.5,11.8,19.1,EMR,Eastern Mediterranean,20.79,19.97,21.6,2014,42.26052151,148.83476921
BRN,Brunei Darussalam,All,0.41,0.0,1.59,16.4,12.2,20.6,WPR,Western Pacific,24.89,22.58,27.32,2014,27.75510204,99.56829336
BHR,Bahrain,Female,0.45,0.11,0.87,5.7,3.1,8.2,EMR,Eastern Mediterranean,39.31,33.7,44.97,2014,25.54399243,53.14176057
TUR,Türkiye,Female,0.48,0.14,0.88,17.9,14.8,20.9,EUR,Europe,37.66,36.24,39.07,2014,44.66113867,202.95917726
MYS,Malaysia,All,0.63,0.0,1.56,24.0,19.4,28.7,WPR,Western Pacific,17.14,16.14,18.17,2014,27.1285465,68.34583762
IRN,Iran (Islamic Republic of),Male,0.74,0.04,1.98,26.8,20.7,32.9,EMR,Eastern Mediterranean,14.46,13.44,15.49,2014,39.6284771,159.89862037
BRN,Brunei Darussalam,Male,0.66,0.0,2.54,30.0,22.5,37.4,WPR,Western Pacific,23.35,20.14,26.77,2014,31.57262905,123.46142652
GTM,Guatemala,Female,0.67,0.21,1.15,2.1,1.4,2.7,AMR,Americas,25.73,24.09,27.39,2014,18.70753302,78.59052102
UZB,Uzbekistan,Female,0.66,0.28,1.06,1.2,0.9,1.5,EUR,Europe,26.44,24.32,28.56,2014,63.60841045,283.14215709
OMN,Oman,All,0.79,0.054,1.81,8.1,6.5,9.7,EMR,Eastern Mediterranean,25.9,23.93,27.94,2014,23.35337,45.731253
SGP,Singapore,Female,0.82,0.28,1.48,5.1,3.7,6.5,WPR,Western Pacific,8.52,7.33,9.85,2014,30.11619635,129.04346783
TKM,Turkmenistan,Female,0.94,0.51,1.45,0.5,0.3,0.7,EUR,Europe,20.72,18.47,23.14,2014,48.37624342,238.31340122
LKA,Sri Lanka,Female,1.04,0.5,1.64,3.5,2.5,4.5,SEAR,South-East Asia,8.91,7.81,10.09,2014,24.43700383,126.25528679
MYS,Malaysia,Male,1.07,0.0,2.64,46.7,37.8,55.6,WPR,Western Pacific,13.59,12.3,15.0,2014,28.27808068,85.31115474
OMN,Oman,Male,1.08,0.073,2.48,15.7,12.7,18.7,EMR,Eastern Mediterranean,22.2,19.56,24.88,2014,22.49645964,43.10393281
SLV,El Salvador,Female,1.12,0.53,1.79,2.3,1.6,3.1,AMR,Americas,32.08,29.1,35.12,2014,18.31588079,88.7238207
QAT,Qatar,All,1.15,0.28,2.14,12.5,10.1,14.8,EMR,Eastern Mediterranean,37.62,34.26,41.22,2014,15.7227388,15.12688283
CRI,Costa Rica,Female,1.28,0.63,1.96,5.7,4.5,7.0,AMR,Americas,31.2,29.0,33.48,2014,30.7744797,112.96302945
